MEMORIES,TWOLOVESIHAVEOFCOMFO,FAAZF DIKUL MJVWJ UAQRC 
HARROWED,THOSELIPSTHATLOVESOW,AHFJS HMSZT YRHHS YLSFN 
PARTNERS,POORSOULTHECENTREOFM,EOFKF SLDIH VVRRK JTOWF 
ROUNDUPS,MYLOVEISASAFEVERLONG,DMFBY YXKRG USHPT JCCHT 
SONOROUS,OMEWHATEYESHATHLOVEP,GARKY ONWQS FVRHB DGJRD 
PAYROLLS,CANSTTHOUOCRUELSAYIL,RALJH ESGJO AIIPW KPYGC 
SURNAMES,OFROMWHATPOWERHASTTH,GZIBM ILSLJ FJEDL SKNKU 
RIDDANCE,LOVEISTOOYOUNGTOKNOW,CWYHI FVSFG RXNTV SBVRZ 
NEUTRONS,INLOVINGTHEETHOUKNOW,VRFHM WAYGL YXKVB MXRIP 
CHILLIER,CUPIDLAIDBYHISBRANDA,EBXTO TEZFI GSTAF ICULL 
WHEREVER,THELITTLELOVEGODLYIN,POICM OXCAS SMIBS UHFME 
PRETTIER,FROMFAIRESTCREATURES,UISFY IMITJ XVKME KJIIL 
CHARGERS,WHENFORTYWINTERSSHAL,YOEEL SILAD IEZII KUOAC 
DERELICT,LOOKINTHYGLASSANDTEL,OSFOT VVABK CEDAC GGXVP 
REORDERS,UNTHRIFTYLOVELINESSW,LRHYU MWLPP CMHPZ FVWGN 
AMETHYST,THOSEHOURSTHATWITHGE,TTSLL FGNRE XAHRO BTTKX 
BEADINGS,THENLETNOTWINTERSRAG,ULEQT RZFPX WLVGK JTVAJ 
FALSETTO,LOINTHEORIENTWHENTHE,QOTFX AXCWI PFXPA SSTSW 
TURNPIKE,MUSICTOHEARWHYHEARST,FOJVR BYLXU IJWGR ITLJG 
MEDICINE,ISITFORFEARTOWETAWID,UWLBH WEJQE UBQER XMALL 
NEWSCAST,FORSHAMEDENYTHATTHOU,SSNKJ AEXQI JQVHS MGLKM 
IMPULSES,ASFASTASTHOUSHALTWAN,IEUUD LEKBT DODZE DBIPH 
MONUMENT,WHENIDOCOUNTTHECLOCK,IVRHU HBVAI ANFLR VXCPE 
SURFACED,OTHATYOUWEREYOURSELF,GNYFT ASXOY IJYQY UKYCK 
PITCHING,NOTFROMTHESTARSDOIMY,CWMHY WZZWM LVHZF JDQFA 
OUTLYING,WHENICONSIDEREVERYTH,KBXYG KBTGC WPPMI KFSMS 
GOGGLING,BUTWHEREFOREDONOTYOU,HIZCS MEKLC XKOWA UZMUA 
PATTERNS,WHOWILLBELIEVEMYVERS,LHHPM CYTTL BXZVZ QKEKL 
SCANDALS,SHALLICOMPARETHEETOA,KJAYO INGER AEHTS WWVON 
SLOWNESS,DEVOURINGTIMEBLUNTTH,VPJKH VAFYE WIRFD MFEHD 
EIGHTIES,AWOMANSFACEWITHNATUR,EEUTT VWXEK KDBBL FEBAY 
BINDINGS,SOISITNOTWITHMEASWIT,TWVVQ GTGUE VWPZK STEVW 
CULINARY,MYGLASSSHALLNOTPERSU,OSRTN SJQJU WTAOK NGLDC 
HOLISTIC,ASANUNPERFECTACTORON,HGLVM GXGYT PKLTK VVFZV 
PROTISTS,MINEEYEHATHPLAYDTHEP,BZBXM QXZPK VITSR VIYSI 
REVOLVED,LETTHOSEWHOAREINFAVO,CIOHS JWHNL JOCZM QWEQC 
MOROSELY,LORDOFMYLOVETOWHOMIN,XCIRG JXWXC MSLSH FAAZB 
VISITING,WEARYWITHTOILIHASTEM,RMSZR EVZCB GQEQU GNBWU 
SCRUTINY,HOWCANITHENRETURNINH,ZQNWT VVRZG ELXBH PFKEB 
ALIENATE,WHENINDISGRACEWITHFO,WSMRV NWMSR ZEPEP MTSNS 
MISSPENT,WHENTOTHESESSIONSOFS,IPWFI SGAQA WKHMB GEWXK 
ISOTONIC,THYBOSOMISENDEAREDWI,BZMUC FWOQK SGRRI TMVKB 
SHELTERS,IFTHOUSURVIVEMYWELLC,AMXSH YJMJC MGXQP OWSPN 
THRASHES,FULLMANYAGLORIOUSMOR,YBCLE HRQTN COJPS MLTFR 
LOVEABLE,WHYDIDSTTHOUPROMISES,HVTHI EDXEV JYPSZ QTGZW 
PREVIEWS,NOMOREBEGRIEVEDATTHA,CFQJZ IXWVI MZDIZ SIKLV 
IMPROPER,LETMECONFESSTHATWETW,TQIDS RSENQ HJHWE KEQIN 
OUTFLOWS,ASADECREPITFATHERTAK,OMTIP QNWDC MKLHD WFNTP 
LOVELESS,HOWCANMYMUSEWANTSUBJ,SCRGL REQXI NIHEF LDIWN 
BOMBINGS,OHOWTHYWORTHWITHMANN,PVAXB UEOPF FIEVZ ZNOZO 
FURTHEST,TAKEALLMYLOVESMYLOVE,YUBXH PDFDF FOLWE RQIMX 
SALESMEN,THOSEPETTYWRONGSTHAT,LHZWW BIGLY HVGZK FLHLX 
DARLINGS,THATTHOUHASTHERITISN,WHREB UUMKA JEPRX AWIJY 
POOLSIDE,WHENMOSTIWINKTHENDOM,LVSYE WVXXK WYCBK ICRCX 
WANDERED,IFTHEDULLSUBSTANCEOF,EFGKI UYOHS HEWKE QYEBI 
BLENCHED,THEOTHERTWOSLIGHTAIR,USIBV OIUUH SFNPK KULME 
MARMOSET,MINEEYEANDHEARTAREAT,YIEQS QITZD YQOJX TDERF 
CHEETAHS,BETWIXTMINEEYEANDHEA,DLXAB XAEKU IIREH FFOIE 
WRINGING,HOWCAREFULWASIWHENIT,DFEPG ZRLQC ENYQJ NAEQG 
SPORTIVE,AGAINSTTHATTIMEIFEVE,SVOZG AOXZP HKBUZ MXTJV 
UNTIDIER,HOWHEAVYDOIJOURNEYON,BBPPH IZPXB BRRCV EYLHV 
TOURISTY,THUSCANMYLOVEEXCUSET,MVOJK SGKRZ IMMWQ ANGYK 
UNTRACED,SOAMIASTHERICHWHOSEB,MBTDI CWWBR KZCJA KIFXS 
ADVISORY,WHATISYOURSUBSTANCEW,WKVBA GPMUU NCTGK YNFZE 
OVERDRAW,OHOWMUCHMOREDOTHBEAU,CCSNP LCDAJ VVGFT DPZEL 
DEBUTANT,NOTMARBLENORTHEGILDE,QSUGT ROEHR PLMHR ZLPEY 
COMRADES,SWEETLOVERENEWTHYFOR,UKQVT OSNGF QEEZX ZATAI 
ADHESIVE,BEINGYOURSLAVEWHATSH,BHPRY GJYRV SENMR LAWZL 
TUSSLING,THATGODFORBIDTHATMAD,MBSLR WQLHL TAOBU GMGSV 
SPLICERS,IFTHEREBENOTHINGNEWB,AUEPG VVTWC ZBJME YFTHJ 
SCISSORS,LIKEASTHEWAVESMAKETO,DKSWS GKZWY INWGD SCGBG 
FRONTING,ISITTHYWILLTHYIMAGES,NJWGM PLCNC ZGAGV SFXSF 
GLOSSING,SINOFSELFLOVEPOSSESS,YTBGX ARRLW CNWXB YYPGK 
BROCHURE,AGAINSTMYLOVESHALLBE,BXOKU MKQZC CXLMY EMCPG 
LITIGATE,WHENIHAVESEENBYTIMES,HPXVO HTZPA XMTBR XTUXA 
PERFUSED,SINCEBRASSNORSTONENO,HMEHY TVDHW ETLKX RCIET 
SYMMETRY,TIREDWITHALLTHESEFOR,LGDQH PZRZY XXXAV QWDAD 
ANALYTIC,AHWHEREFOREWITHINFEC,AUWSC KMHOE EHGMP KNSEN 
REDHEADS,THUSISHISCHEEKTHEMAP,KLXZM SKAJG KLIKW ZVQDW 
SALVAGED,THOSEPARTSOFTHEETHAT,LHZNE VEULS ZATNI HLHLO 
SEDITION,THATTHOUARTBLAMEDSHA,LLDBM PCHSV WJEIA RVWKI 
PLAUDITS,NOLONGERMOURNFORMEWH,CZLIQ OXJBZ ULQNH JBPWB 
STIRRERS,OLESTTHEWORLDSHOULDT,GEMJK XYWOH ZCUWY GMELK 
MISTAKEN,THATTIMEOFYEARTHOUMA,FPSMT SQRAN QXABX UACET 
EDGINESS,BUTBECONTENTEDWHENTH,FXZJR GGFXH TBRHO ZIQZP 
OUTGOING,SOAREYOUTOMYTHOUGHTS,GITXS GBAHI FEHPB AUBMY 
MOVEMENT,WHYISMYVERSESOBARREN,IVTME QLOQF NIESO TDFZR 
ACCIDENT,THYGLASSWILLSHOWTHEE,TJAOO EFLWK NTVLB PTJGM 
ADHERERS,SOOFTHAVEIINVOKEDTHE,SRVJK LRNEL PRMSB WDWOI 
MONSIEUR,WHILSTIALONEDIDCALLU,IVVDA XCRXC AWLMX TMZYM 
PLAYABLE,OHOWIFAINTWHENIOFYOU,DSOUI GLMCE WFEOT SUJOS 
WHISKING,ORISHALLLIVEYOUREPIT,KYQKR IYRHP DWIWH XAWQL 
INCENSES,IGRANTTHOUWERTNOTMAR,QTTEA LXZWH YIELR GBZCV 
TWELFTHS,INEVERSAWTHATYOUDIDP,BJIGJ KZSPP LLYRV MWEHA 
STILETTO,WHOISITTHATSAYSMOSTW,OAWTW BMHZT BDERL AGLBH 
BOTSWANA,MYTONGUETIEDMUSEINMA,NMMGJ GHEUW XVIUF EJBFS 
HIPSTERS,WASITTHEPROUDFULLSAI,DIHAM XYWWZ DMWJL DSAPA 
ANTIDOTE,FAREWELLTHOUARTTOODE,FNKMZ SEPTU HCDFM XOBWM 
MUFFLING,WHENTHOUSHALTBEDISPO,IBJSE PBAEB FQEJR JUMUT 
REALISED,SAYTHATTHOUDIDSTFORS,JEYEP SXWYS UOQVW WWSRD 
PREMISED,THENHATEMEWHENTHOUWI,IYIZP SXHBV ATMFX KDLAU 
GANGLION,SOMEGLORYINTHEIRBIRT,YOZKR TCEEI AZSMW EHIEZ 
SUNBURST,BUTDOTHYWORSTTOSTEAL,TOGEI KZROI ETNKG LLYNM 
INFLAMES,SOSHALLILIVESUPPOSIN,ABXSA XPATV APSGT HWFNY 
WIGGLING,THEYTHATHAVEPOWERTOH,PPKEE PNZDI BKAWJ KNBUN 
GUNPOINT,HOWSWEETANDLOVELYDOS,NIJHK MRMGH QACDR EEXBH 
REPEATER,SOMESAYTHYFAULTISYOU,JSBIS TCKYC UEUEX ZJCDY 
ESOTERIC,HOWLIKEAWINTERHATHMY,LGKEM BMCAA BMIIP CXZAR 
FEATURED,FROMYOUHAVEIBEENABSE,KVOFS FYKFZ EBVVI QFFSX 
CONJURER,THEFORWARDVIOLETTHUS,VVROI IARTR IRICI KVVHB 
CANTERED,WHEREARTTHOUMUSETHAT,YHRKI RVWVH BNQLW HVHNM 
SURVEYED,OTRUANTMUSEWHATSHALL,GNIPE LXPMM VRLYX VZUCG 
BISEXUAL,MYLOVEISSTRENGTHENDT,NGDSS YIDTB JIKAT SFVVX 
ADVISING,ALACKWHATPOVERTYMYMU,AOVKC EUGTS JDWZG EMBHC 
DUMBBELL,TOMEFAIRFRIENDYOUNEV,WIYFG ETCIL UFOHJ ZXHQW 
AUCTIONS,LETNOTMYLOVEBECALLDI,LYVGW HZQLI XXJSP SLFFB 
RADISHES,WHENINTHECHRONICLEOF,NHHVA UXZVC KZGUM UCERN 
CLAMPING,WHENINTHECHRONICLEOF,YSEZX VGNGN HDDVV INPOR 
VASTNESS,NOTMINEOWNFEARSNORTH,IOLFV RWGRN XXNVK FJRLA 
NECKLINE,WHATSINTHEBRAINTHATI,JLCDD QAXUI DBLQA XUEVS 
OBSERVER,ONEVERSAYTHATIWASFAL,COWZV MWRMU ZEKDA RGGSP 
BARNYARD,ALASTISTRUEIHAVEGONE,BLRFR IJWSU VVFAM HHOER 
REVIEWED,OFORMYSAKEDOYOUWITHF,FJJZQ UWDBI YWCKY ZZXCN 
IMPUGNED,YOURLOVEANDPITYDOTHT,GAJLR BZHIZ SJOGC GWFWN 
BABBLERS,SINCEILEFTYOUMINEEYE,TIODP MCWGT ZPFQZ FFEZF 
BLOCKISH,ORWHETHERDOTHMYMINDB,PCKJO BZLSO CVRUQ TJYRD 
SEAFRONT,THOSELINESTHATIBEFOR,LLOXV ZVGWW TMRHV UWJOW 
MUNCHERS,LETMENOTTOTHEMARRIAG,XYGOL RFLFI GJLQR JDCNI 
HOARSELY,ACCUSEMETHUSTHATIHAV,HQCLK IXCAV UJLLL RPVAM 
REVIVALS,LIKEASTOMAKEOURAPPET,CMFMV SEGDE FMJUC SGTZB 
WREATHES,WHATPOTIONSHAVEIDRUN,SYETI VXAKE WHTCI AZIYN 
BOOKSHOP,THATYOUWEREONCEUNKIN,UVODQ VILFF SYFJS JOYWX 
STICKILY,TISBETTERTOBEVILETHA,LBADO BECJM WDODT JWMPC 
STRATEGY,THYGIFTTHYTABLESAREW,LAPGB JZRZR KAUPK QSKVW 
SALIVARY,NOTIMETHOUSHALTNOTBO,FOEQH EKFGU DPVLK LGTMW 
RENOVATE,IFMYDEARLOVEWEREBUTT,ZJZMY ETVCS ISREK ISYGH 
LICENCES,WERETAUGHTTOMEIBORET,HMTIG CYYSB VSZGM TZZGX 
SARDINES,OTHOUMYLOVELYBOYWHOI,GTYRC ZCDGV VOGOS QOHFL 
OMELETTE,INTHEOLDAGEBLACKWASN,WZXSI HEHOS IMPTV OKMWY 
POLITELY,HOWOFTWHENTHOUMYMUSI,WCHWY XHFTB EPHYX WBIDQ 
LONESOME,THEEXPENSEOFSPIRITIN,EVRIP DQRDS BJKDU VTHVR 
LACQUERS,MYMISTRESSEYESARENOT,XYOYM XIWDS GOYWR JPNQJ 
EMBATTLE,THOUARTASTYRANNOUSSO,XTPUT KEEWF ZRTGY SYETO 
LITERATI,THINEEYESILOVEANDTHE,EPBRV ERMDQ ESMET VOBAI 
UNTIDILY,BESHREWTHATHEARTTHAT,VRLPU MHRBN MPHIC RNUTB 
BACTERIA,SONOWIHAVECONFESSDTH,TOPHA ZPAWE EHRWM STDVA 
BEARABLE,WHOEVERHATHHERWISHTH,XLOVV FCLBX HYESH MTLTY 
UPSTREAM,IFTHYSOULCHEQUETHEET,CULAP WOGFR ZXHYE FBTWM 
RETYPING,THOUBLINDFOOLLOVEWHA,KLHSQ TVTUJ HMATB BVAAY 
FLOTILLA,WHENMYLOVESWEARSTHAT,BSSGU JWOAP GPMLC SYSOM 
WEASELLY,OCALLNOTMETOJUSTIFYT,KGADP YZRII TGNFD REJYL 
MEDIATED,BEWISEASTHOUARTCRUEL,NIZQS XEVFL RCAKX FDYHT 
MICRODOT,INFAITHIDONOTLOVETHE,UVHRW WVBPW PFHOC OQBJV 
MIGRATES,LOVEISMYSINANDTHYDEA,XWBVI LQQEQ TRNWX ZKLKR 
CHICKENS,LOASACAREFULHOUSEWIF,NVIUK GNJGM CNRSH KGDQH 
REMOTEST,TWOLOVESIHAVEOFCOMFO,KAAZH ZWLZL MJXSX VFQRC 
DEPARTER,THOSELIPSTHATLOVESOW,WLDSV EMGVX WAKES MHWDW 
REFERRAL,POORSOULTHECENTREOFM,GSTVJ FUWKL JGVET CVSKQ 
UNSAVORY,MYLOVEISASAFEVERLONG,GLDOQ SZQUF SFZJV PFBFG 
INDICATE,OMEWHATEYESHATHLOVEP,WZHEJ AMIGR VPCTA PWIHX 
SWINGERS,CANSTTHOUOCRUELSAYIL,UWVFZ XYGMK KEAIC KSUQY 
CROWDING,OFROMWHATPOWERHASTTH,QWFKP EUGVG CSHZU GUKHD 
HARVESTS,LOVEISTOOYOUNGTOKNOW,SOMZM KMGVY FPRYM GRNFR 
PORTENDS,INLOVINGTHEETHOUKNOW,XBCHZ VQYIV VXXUR MZBFP 
CRASHING,CUPIDLAIDBYHISBRANDA,ELPAK TNOFS YZPAO XCEDS 
PIANISTS,THELITTLELOVEGODLYIN,IPEYQ LMDTT OIMYH VAGIA 
SWITCHER,FROMFAIRESTCREATURES,XNWFH HMIWO BVTLE KMNML 
DILUTING,WHENFORTYWINTERSSHAL,ZPPHY WEZBE THMME YVPLF 
SNAPPILY,LOOKINTHYGLASSANDTEL,DBOZX VEFQT LPHAL LVGEA 
AQUATICS,UNTHRIFTYLOVELINESSW,UDNHK QHLYB IVXTK FEIMW 
UNFOLDED,THOSEHOURSTHATWITHGE,NUTGP KSXLF YVLWA LNULS 
HASTIEST,THENLETNOTWINTERSRAG,AHWGT ILGVT OBVXW KZRSZ 
DISTALLY,LOINTHEORIENTWHENTHE,OWAGT SPMUQ WGTHS CQBZX 
VITREOUS,MUSICTOHEARWHYHEARST,HCLZG HIZZI KNLMB WVZLK 
REARWARD,ISITFORFEARTOWETAWID,ZWIKB OIIVE RKKWV WRAIU 
ECSTATIC,FORSHAMEDENYTHATTHOU,JQJLH TUGHG FRTAI VXJGN 
DRIZZLES,ASFASTASTHOUSHALTWAN,DJNZR EEKWY WTRSE DWNIM 
VIRTUOSO,WHENIDOCOUNTTHECLOCK,RPVGC RGQJC EMNVW QGWTD 
IDOLISED,OTHATYOUWEREYOURSELF,WWVLB QSXEH FPGGY UAHZQ 
ASSYRIAN,NOTFROMTHESTARSDOIMY,NGLDI WMGHW KRRZS QOAEW 
COMMENDS,WHENICONSIDEREVERYTH,YVQZM PRFUW PQVRY WTMFT 
TOXICITY,BUTWHEREFOREDONOTYOU,UIQEJ MKCYC OMFWG MMMLC 
SAMPLING,WHOWILLBELIEVEMYVERS,OHALT TYHWL UTGMZ ENEDH 
SWASTIKA,SHALLICOMPARETHEETOA,KDADE QMOEL AJXBR EWPOS 
FLATTERS,DEVOURINGTIMEBLUNTTH,IPVHN VZFLE IFXFC MSETA 
CRUMBLES,AWOMANSFACEWITHNATUR,CNIYB YWXCT YIJEL FCKOD 
CAPSULES,SOISITNOTWITHMEASWIT,UOXKC ERGVW XLBXI SUWXL 
PROLAPSE,MYGLASSSHALLNOTPERSU,BPUWA HKWWR ZWNDL TTIGF 
DREAMILY,ASANUNPERFECTACTORON,DJENG VACUW ICFIN RRISN 
SEEDIEST,MINEEYEHATHPLAYDTHEP,EMRHM CWASX LSTEQ WLLIS 
PERFORCE,LETTHOSEWHOAREINFAVO,AIKYV FUILL FFFVK RUEMT 
CLOTHIER,LORDOFMYLOVETOWHOMIN,NZFWV NQPNZ JXAWA YQXWG 
JUDDERED,WEARYWITHTOILIHASTEM,FYDUC NMWQN RLPZL DBNHP 
TINCTURE,HOWCANITHENRETURNINH,AWJET HZXAM ATXNL VGQAJ 
DISUNITE,WHENINDISGRACEWITHFO,ZPWHV VWMVO JUPMP MWPXI 
ADJUDGED,WHENTOTHESESSIONSOFS,WKNHW UXKEV NMVOS QSROM 
METALLIC,THYBOSOMISENDEAREDWI,FLRBZ DWOUW XNOPI TQHPI 
COBBLERS,IFTHOUSURVIVEMYWELLC,KTUIZ YJMTJ JWPQP OGZMD 
BABBLING,FULLMANYAGLORIOUSMOR,GUMMX IAEBG MPCQB ATMPS 
CIRCUSES,WHYDIDSTTHOUPROMISES,YPPFC VWLVP FWJJS EKAVU 
SACREDLY,NOMOREBEGRIEVEDATTHA,FOOFV HMCYR KVZHO YLTJR 
PUNCTURE,LETMECONFESSTHATWETW,AYGOX WFRUY FUMBR XLYGY 
ELBOWING,ASADECREPITFATHERTAK,EDBRA KEKTT UTWBU KVEBY 
BACKLOGS,HOWCANMYMUSEWANTSUBJ,IOYML BSQNU UOHOT LTUDT 
NAMIBIAN,OHOWTHYWORTHWITHMANN,BHAEU PYJBR FPXQT UZAZV 
BURBLING,TAKEALLMYLOVESMYLOVE,UUBFL TYSZF FWPAZ EMIMF 
SQUASHES,THOSEPETTYWRONGSTHAT,LXISW WILLO QRGUK KLXUT 
DISPLACE,THATTHOUHASTHERITISN,WPSIE HQYKI KISET MWQKC 
LITIGANT,WHENMOSTIWINKTHENDOM,HPXVS OFMTE BVQTU XYLHU 
LACERATE,IFTHEDULLSUBSTANCEOF,TFVLV DNPWS WFJTT RNEQJ 
SHREWDLY,THEOTHERTWOSLIGHTAIR,LOVSP KPPLD FWHLR FLHZV 
BOUNTIES,MINEEYEANDHEARTAREAT,NWHRX GISOR BRTZX SSSUG 
SANDBANK,BETWIXTMINEEYEANDHEA,TEGZJ XGWAN RHZEN XVHRD 
SYLLABUS,HOWCAREFULWASIWHENIT,ZMHNA SYXMJ HLSJQ ZWLTE 
MIMICKED,AGAINSTTHATTIMEIFEVE,MOMQP CXWTI FBKWI LRMHM 
HARMONIC,HOWHEAVYDOIJOURNEYON,OONTS NDAKO ZVCHZ PLYFZ 
POLITICS,THUSCANMYLOVEEXCUSET,IVFAV IPENZ ZDXMZ UJGPB 
ETHYLENE,SOAMIASTHERICHWHOSEB,WHHKT EFXLX YGNLJ LSLLZ 
CLEVERER,WHATISYOURSUBSTANCEW,YSEOM JCFWC WPFJX RPNIR 
VOYAGING,OHOWMUCHMOREDOTHBEAU,JVMWS CPNHC PEJWG NWSYU 
PILGRIMS,NOTMARBLENORTHEGILDE,CWESR ZNDTV ZXKPQ YXTOK 
DEROGATE,SWEETLOVERENEWTHYFOR,VAVSZ LHZHV VBKWM LBJFF 
CASTRATO,BEINGYOURSLAVEWHATSH,DEAGX YHITS DTMEP VCTKA 
COMPILED,THATGODFORBIDTHATMAD,VVMIO ZHIQF NXLEL DVAMS 
THRASHED,IFTHEREBENOTHINGNEWB,BMKHW YIEXU FTZPR JGLNB 
PARAFFIN,LIKEASTHEWAVESMAKETO,AIBEF XBUTW RVJXU NZEKO 
STRESSES,ISITTHYWILLTHYIMAGES,ALZXL ZCOAE CXZQM ESZVW 
SQUEEZED,SINOFSELFLOVEPOSSESS,KYHSJ RIOXB IZIOS VKUMW 
SIPHONED,AGAINSTMYLOVESHALLBE,SOPPB FXPQT DCSFL DDTQL 
CARNAGES,WHENIHAVESEENBYTIMES,YHVAI NENGS VRNHC LKMVF 
WEAKNESS,SINCEBRASSNORSTONENO,OMNMR FJSOW NYEWL GJINY 
SUPPOSED,TIREDWITHALLTHESEFOR,LCGTR OMWZU AAHZI VWZDG 
GUTTERED,AHWHEREFOREWITHINFEC,GBPAI IIIUL XPMKL LTZXV 
MUTINEER,THUSISHISCHEEKTHEMAP,FBNAV WLZEW AMROX YQGTX 
WORTHILY,THOSEPARTSOFTHEETHAT,PVFLL XLPPG FYAPP CPVRM 
REQUIRES,THATTHOUARTBLAMEDSHA,KLQNB YSMRV JVTRQ WUWXU 
ENTHUSED,NOLONGERMOURNFORMEWH,RBEVH YIUQB NYHXS UQRPO 
HALLOWED,OLESTTHEWORLDSHOULDT,VLPDH PLHDO CWROL RBLOE 
SPOONFUL,THATTIMEOFYEARTHOUMA,LWOHG NGPGU MSNWN SGJAO 
SEARCHES,BUTBECONTENTEDWHENTH,TYTSG JSFLI NKGKA ZWRTY 
KEYSTONE,SOAREYOUTOMYTHOUGHTS,CSYJX MBYDS KQMVB YQLRK 
TENURIAL,WHYISMYVERSESOBARREN,PLLCJ UYGXV FYJWB LKVRH 
LOCALISE,THYGLASSWILLSHOWTHEE,EVAGW IKWHW NLDPG AEVGE 
DOLOMITE,SOOFTHAVEIINVOKEDTHE,VCZTF PTZHW TBHWD IGHSS 
GROUPIES,WHILSTIALONEDIDCALLU,CYWFH BMSRF BYSQH UGCZO 
DETRITUS,OHOWIFAINTWHENIOFYOU,RLHNQ YUAQX PYMGC GICHL 
OBLIQUED,ORISHALLLIVEYOUREPIT,CSTAX UPOZJ GMOIY USQTB 
CIRCLING,IGRANTTHOUWERTNOTMAR,KOICY BGNQC NGCBA UVURT 
EFFLUENT,INEVERSAWTHATYOUDIDP,MSJGY VFTAY MLNCB NHNIA 
DISPUTES,WHOISITTHATSAYSMOSTW,ZPGXM BXLKI LHURW ERALL 
DENOUNCE,MYTONGUETIEDMUSEINMA,PCGCH TWIWM RRGHU ILRZO 
KINDNESS,WASITTHEPROUDFULLSAI,GIFLG XZWZZ BXQJM DVANL 
PROPHETS,FAREWELLTHOUARTTOODE,URFTD IEDIY CJHVM LDFRT 
INDECENT,WHENTHOUSHALTBEDISPO,EUHRV LBNAU DPVFR WQFSS 
REMEDIAL,SAYTHATTHOUDIDSTFORS,JEKXK ITEYS GHLLS EWSDW 
EUGENICS,THENHATEMEWHENTHOUWI,XBKRU IVWQY CLRVV ZSOCM 
DECEIVES,SOMEGLORYINTHEIRBIRT,VSOIO GSJBM PXPZM JEMTX 
JEREMIAH,BUTDOTHYWORSTTOSTEAL,KYKHA BHFFS IWFBO ZCIRP 
AIRPLANE,SOSHALLILIVESUPPOSIN,SWJWL LYMLQ MTDUC TOAZC 
SNAPSHOT,THEYTHATHAVEPOWERTOH,LUENL OOMZN VTHVK XJGOW 
SEDATING,HOWSWEETANDLOVELYDOS,ZSZSP MRZSR GLHDR RQHRS 
CALAMITY,SOMESAYTHYFAULTISYOU,UOXEE IRRJY QAGTM GUYZU 
FATIGUED,HOWLIKEAWINTERHATHMY,MOPTO EIDBI GBKLL DYHFG 
CLEARWAY,FROMYOUHAVEIBEENABSE,HCSMP KUFCG IISAE LCMWE 
PALENESS,THEFORWARDVIOLETTHUS,IHPJB VOSGD GMBPW LIHFW 
INSTANTS,WHEREARTTHOUMUSETHAT,EUWKE NKLBU GNMHL WBUSM 
DISARMER,OTRUANTMUSEWHATSHALL,RBJUR ZXDXA WWYMX JKIDL 
PREFACED,MYLOVEISSTRENGTHENDT,BPPTV GMVHK VJNIX KTEHY 
PEPTIDES,ALACKWHATPOVERTYMYMU,PPPVS ZLSIT DOMUX QBCBN 
TRAVAILS,TOMEFAIRFRIENDYOUNEV,MFMZF ITJYI IZNLJ GNEEQ 
SOLIDIFY,LETNOTMYLOVEBECALLDI,DSEVR BRWDC GMEMH YDZOQ 
GLADIOLI,WHENINTHECHRONICLEOF,CSEQQ BEPKN HUWBT KRPOI 
NATURIST,WHENINTHECHRONICLEOF,JHXHZ VLARC ALFVA VYEHZ 
BAGPIPES,NOTMINEOWNFEARSNORTH,OOZBQ CIGXN LTIGW FPRZW 
ABUTTING,WHATSINTHEBRAINTHATI,WIUML QAZHF VKTQA ZHBNB 
CHARISMA,ONEVERSAYTHATIWASFAL,QUEMM JEAAA HRBAI AUMAC 
LICORICE,ALASTISTRUEIHAVEGONE,LTCGK QUXCC GWYIX IRWPS 
FURRIEST,OFORMYSAKEDOYOUWITHF,TZFIU CKTPY UFGSM PNNYW 
CLOWNISH,YOURLOVEANDPITYDOTHT,AZINY WNLCY RLVBQ KQEVP 
ENTHUSES,SINCEILEFTYOUMINEEYE,WVGJY APWJG RVOEM FIRRL 
THEATRES,ORWHETHERDOTHMYMINDB,HYAHX KLWKK STADC EBUHB 
RUEFULLY,THOSELINESTHATIBEFOR,KBSXY WTLVM XMUET ZVZSW 
LACEWORK,LETMENOTTOTHEMARRIAG,WEVQA BFDEO VLAAR BCICK 
STRETCHY,ACCUSEMETHUSTHATIHAV,SVTYL GTCLA LWMJH RAARZ 
MARSHGAS,LIKEASTOMAKEOURAPPET,XIBWH YTGYA BWVAR SBPVL 
HOMELAND,WHATPOTIONSHAVEIDRUN,DVMXA OGLVB ELLVR LKFGR 
PALPATED,THATYOUWEREONCEUNKIN,IHLIY HYZTR PDNVI XCKTC 
CHAPERON,TISBETTERTOBEVILETHA,VPSQI KHRTA OQIMW YGAHP 
SARCASMS,THYGIFTTHYTABLESAREW,LHPII XFLZY KCBDQ KSRVY 
DEPLORES,NOTIMETHOUSHALTNOTBO,QSITA VXZRY HSOCX FRXQZ 
MILKMAID,IFMYDEARLOVEWEREBUTT,UNXIP EIUXW GOIEZ HNCED 
THOUSAND,WERETAUGHTTOMEIBORET,PLFYL AHJAA HIEEV EHYSN 
STARCHES,OTHOUMYLOVELYBOYWHOI,GMHFW TCDGO ECAIS QOAOZ 
SPACEAGE,INTHEOLDAGEBLACKWASN,ACTJI ORHSV EDPAI OOPSP 
DIZZIEST,HOWOFTWHENTHOUMYMUSI,KWVNN XOAHV SGWYE RPCRH 
PILLAGES,THEEXPENSEOFSPIRITIN,IPPPX VIFHM ZQSVM JXBTY 
CHALKING,MYMISTRESSEYESARENOT,OFMTC BEKUZ EJOAN XGUOE 
DAIRYMAN,THOUARTASTYRANNOUSSO,WHWLY DTNVT GIYZN BXSAF 
